Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total Other Criminal Code violations,2,4,17,4,4,10,7,1,1,5,3
Total Other Criminal Code violations,1,1,1,0,1,0,5,0,0,2,0
Total Other Criminal Code violations,0,0,0,0,2,1,0,0,0,0,0
Total Other Criminal Code violations,2,2,6,1,1,2,2,2,1,0,2
Total Other Criminal Code violations,138,138,125,105,95,96,57,46,42,46,59
Total Other Criminal Code violations,0,0,1,0,0,3,1,0,2,0,1
Total Other Criminal Code violations,4,4,3,4,0,6,2,14,5,2,2
Total Other Criminal Code violations,0,0,0,0,0,0,0,1,4,5,8
Total Other Criminal Code violations,137,159,196,129,88,55,33,24,27,31,21
Total Other Criminal Code violations,505,559,531,440,409,325,351,380,323,300,303
Total Other Criminal Code violations,5,5,0,2,4,1,2,2,2,1,0
Total Other Criminal Code violations,1,0,0,1,0,0,0,0,0,0,0
Total Other Criminal Code violations,7,10,12,7,17,10,8,3,5,6,3
Total Other Criminal Code violations,22,18,20,16,10,18,9,13,11,8,9
Total Other Criminal Code violations,16,8,9,22,7,9,5,9,4,4,6
Total Other Criminal Code violations,7,4,7,4,4,2,8,2,4,2,0
Total Other Criminal Code violations,58,45,63,42,27,28,44,28,26,24,19
Total Other Criminal Code violations,10,10,3,2,7,5,2,5,2,3,2
Total Other Criminal Code violations,6,5,2,4,2,4,1,2,5,1,4
Total Other Criminal Code violations,1,1,0,6,19,5,0,1,0,0,0
Total Other Criminal Code violations,1,0,2,1,2,1,1,0,0,1,1
Total Other Criminal Code violations,2,0,0,0,0,0,0,0,1,0,0
Total Other Criminal Code violations,16,16,9,16,12,8,12,9,5,6,2
Total Other Criminal Code violations,0,4,3,1,5,3,0,0,0,1,0
Total Other Criminal Code violations,0,0,0,0,2,0,1,0,0,0,0
Total Other Criminal Code violations,1,1,0,0,0,1,0,1,1,1,0
Total Other Criminal Code violations,1,1,1,0,0,0,0,0,1,0,2
Total Other Criminal Code violations,14,9,12,12,9,4,5,9,10,3,5
